CODIGO,SERVICIO,PRECIO,OFERTA,MOSTRAR,TEXTO
CERT_AB,Certificación AB,,,SI,
CERT_AC,Certificación AC,,,SI,
CERT_ACD,Certificación ACD,,,SI,
CURSO_COMPLETO,Curso completo,,,SI,
AMP_B,Ampliación B,,,SI,
AMP_D,Ampliación D,,,SI,
AMP_E1,Ampliación E1,,,SI,
AMP_E2,Ampliación E2,,,SI,
AMP_E3,Ampliación E3,,,SI,
AMP_F,Ampliación F,,,SI,
AMP_G,Ampliación G,,,SI,
AMP_H,Ampliación H,,,SI,
AMP_I,Ampliación I,,,SI,
ALCOHOLEMIA,Alcoholemia,,,SI,
REGATAS,Regatas,,,SI,
PIRATERIA,Piratería,,,SI,
EXCESO_VELOCIDAD,Exceso de velocidad,,,SI,
